zip_code,state,population,growth,average_age,income_per_house
87507,Santa Fe NM,"46,595",1%,34,$0.00
87112,Albuquerque NM,"44,040",1%,40.8,"$40,762.00"
87123,Albuquerque NM,"42,292",1%,37.2,"$36,150.00"
87401,Farmington NM,"41,200",-12%,31.8,"$34,207.00"
87109,Albuquerque NM,"41,173",1%,38.3,"$38,370.00"
87031,Los Lunas NM,"40,222",-9%,35,"$34,771.00"
87110,Albuquerque NM,"39,568",2%,42.1,"$39,670.00"
87108,Albuquerque NM,"39,567",2%,34.5,"$26,248.00"
87144,Rio Rancho NM,"39,387",4%,33.7,$0.00
88240,Hobbs NM,"37,108",0%,30.9,"$28,115.00"
88310,Alamogordo NM,"36,660",2%,39.2,"$31,574.00"
88001,Las Cruces NM,"36,429",-2%,27.5,"$23,114.00"
88220,Carlsbad NM,"33,216",-1%,38.4,"$32,829.00"
88203,Roswell NM,"31,297",0%,31,$0.00
87505,Santa Fe NM,"30,789",0%,48.1,"$43,725.00"
87107,Albuquerque NM,"30,557",-2%,40.8,"$34,645.00"
88011,Las Cruces NM,"29,241",5%,40.3,"$42,237.00"
88012,Las Cruces NM,"26,903",3%,31.3,"$32,974.00"
88005,Las Cruces NM,"25,903",-4%,38.3,"$35,914.00"
88201,Roswell NM,"24,871",-2%,39.9,"$28,468.00"
87106,Albuquerque NM,"24,656",-9%,28.6,"$27,036.00"
88030,Deming NM,"22,456",-3%,39.6,"$21,266.00"
88007,Las Cruces NM,"22,138",-8%,38.3,$0.00
87102,Albuquerque NM,"21,068",0%,33.5,"$21,109.00"
87301,Gallup NM,"20,425",-15%,31.8,"$33,632.00"
87002,Belen NM,"20,259",-11%,40.6,"$31,623.00"
87544,Los Alamos NM,"19,206",6%,44.3,"$78,945.00"
88130,Portales NM,"17,398",-7%,29,"$26,584.00"
87122,Albuquerque NM,"17,306",-3%,46.6,"$93,564.00"
87701,Las Vegas NM,"16,810",-19%,38.7,"$25,921.00"
87508,Santa Fe NM,"16,705",-8%,47.6,$0.00
88210,Artesia NM,"16,256",-5%,35.1,"$31,277.00"
88061,Silver City NM,"15,462",-20%,45,"$30,935.00"
87113,Albuquerque NM,"15,261",5%,35.8,"$39,602.00"
87501,Santa Fe NM,"15,206",0%,52.7,"$40,406.00"
87410,Aztec NM,"14,630",-20%,36.2,"$37,439.00"
88081,Chaparral NM,"14,113",-11%,28.4,$0.00
87506,Santa Fe NM,"13,831",9%,48.3,$0.00
88260,Lovington NM,"13,148",-9%,31.1,"$28,516.00"
87104,Albuquerque NM,"12,134",0%,41,"$32,569.00"
87413,Bloomfield NM,"12,114",-38%,33.2,"$35,725.00"
87402,Farmington NM,"11,020",0%,35.3,"$47,410.00"
87015,Edgewood NM,"10,048",-30%,44.3,"$48,284.00"
88021,Anthony NM,"9,786",-88%,29,"$22,767.00"
87020,Grants NM,"9,576",-18%,37.1,"$29,728.00"
87532,Espanola NM,"9,145",-99%,37.8,"$31,714.00"
87004,Bernalillo NM,"8,674",-16%,38.2,"$31,599.00"
88063,Sunland Park NM,"8,126",-57%,28.1,"$20,139.00"
87059,Tijeras NM,"8,032",-19%,47.5,"$56,033.00"
87740,Raton NM,"7,602",-6%,44.2,"$29,452.00"
87801,Socorro NM,"7,483",-36%,34.5,"$22,799.00"
87048,Corrales NM,"6,650",-30%,51.1,"$66,400.00"
88242,Hobbs NM,"6,441",4%,36.7,"$43,022.00"
87901,Truth Or Consequences NM,"6,355",-12%,52.3,"$21,063.00"
88401,Tucumcari NM,"6,335",-9%,43.9,"$24,094.00"
87571,Taos NM,"6,286",-86%,45,"$25,954.00"
88345,Ruidoso NM,"6,225",-42%,49.9,"$38,882.00"
88008,Santa Teresa NM,"5,984",3%,33.9,"$38,571.00"
