ranking,World Rank,University,Det.,Country,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
202,690,Bowling Green State University,,,1415,349,747,1279
203,696,California State University Los Angeles,,,2989,557,1445,832
204,701,California Polytechnic State University Cal Poly,,,1335,320,848,1333
205,707,California State University Northridge,,,901,236,945,1552
206,709,Villanova University,,,917,477,803,1152
207,714,California State University Fullerton,,,2265,347,825,1307
208,719,Boise State University,,,1614,396,814,1279
209,724,Nova Southeastern University,,,1494,356,889,1347
210,730,Oakland University,,,2600,573,703,1065
211,736,Santa Clara University,,,1555,259,737,1656
212,737,Florida Institute of Technology,,,2508,609,909,1018
213,740,Yeshiva University,,,2386,450,260,1482
214,774,University of Southern Mississippi,,,1863,414,899,1406
215,783,California State University Long Beach,,,1548,334,1019,1536
216,800,Augusta University (Georgia Regents University Augusta State University),,,2450,1512,613,733
217,801,University of Arkansas for Medical Sciences,,,3550,1648,429,699
218,806,James Madison University,,,1327,331,1114,1613
219,819,Howard University,,,3482,566,1216,1230
220,820,South Dakota State University,,,2579,772,976,1081
221,824,Western Washington University,,,1494,413,867,1637
222,826,University of Missouri Saint Louis,,,1904,523,762,1503
223,827,Central Michigan University,,,1358,564,947,1419
224,827,Cleveland State University,,,1829,507,916,1477
225,835,Chapman University,,,2109,497,731,1554
226,841,University of Nebraska Omaha,,,2544,526,1047,1416
227,845,Appalachian State University,,,1509,394,982,1696
228,846,Clark University,,,3074,492,939,1495
229,847,Loma Linda University,,,3281,789,918,1144
230,851,Bucknell University,,,538,357,1115,1814
231,852,Montclair State University,,,2420,533,999,1448
232,859,Institute for Advanced Study,,,2538,844,1848,973
233,866,Texas Christian University,,,1764,680,817,1429
234,871,The New School,,,2276,272,1210,1956
235,878,Stevens Institute of Technology,,,4390,1005,654,1116
236,888,Wesleyan University,,,1327,397,988,1852
237,890,(3) University of Oklahoma Health Sciences Center,,,4035,1947,581,780
238,890,Georgia Southern University,,,2057,658,1036,1438
239,894,(3) University of Tennessee Health Science Center Memphis,,,3560,2793,535,604
240,895,University of Alabama Huntsville,,,3261,834,787,1308
241,904,Towson University (Baltimore Hebrew University),,,2404,493,1297,1626
242,906,Ball State University,,,1807,502,1315,1643
243,906,University of Massachusetts Dartmouth,,,3434,796,993,1321
244,908,Rowan University,,,3112,765,877,1406
245,917,Kennesaw State University,,,1669,519,822,1821
246,924,University of North Carolina Wilmington,,,2057,485,1062,1787
247,927,University of San Francisco,,,2456,377,1187,1938
248,934,University of Hawaii at Manoa,,,939,947,7356,283
249,935,East Tennessee State University,,,2410,605,1323,1586
250,940,(1) California State University Fresno,,,2558,1055,1452,1125
251,945,Swarthmore College,,,1509,248,1660,2234
252,948,Wellesley College,,,2241,484,1192,1831
253,951,Duquesne University,,,1915,659,943,1691
254,952,College of Charleston,,,1456,581,1122,1747
255,957,University of Colorado Colorado Springs,,,1966,693,952,1668
256,957,University of Richmond,,,1669,345,1269,2105
257,957,Smith College,,,2227,348,1469,2014
258,967,Wichita State University,,,2390,608,1118,1708
259,969,University of San Diego,,,1634,463,1272,1934
260,969,Western Kentucky University,,,852,462,1247,1993
261,975,Uniformed Services University of the Health Sciences,,,6595,2374,622,792
262,984,Carleton College,,,718,310,2641,2035
263,987,Louisiana Tech University,,,3835,1346,1376,1028
264,990,Santa Fe Institute,,,5705,916,1733,1219
265,991,University of South Dakota,,,3862,854,1217,1438
266,995,Hofstra University,,,2030,475,1334,1973
267,1001,Pace University,,,1529,474,1270,2043
268,1004,California State University Sacramento / Sacramento State,,,1985,467,1296,2014
269,1007,Central European University Budapest / Közép-európai Egyetem,,,1594,822,1312,1578
270,1011,University of Tulsa,,,2778,853,990,1591
271,1013,Grand Valley State University,,,1391,411,1262,2184
272,1019,New Mexico Institute of Mining & Technology New Mexico Tech,,,2960,823,1141,1578
273,1024,Idaho State University,,,2661,722,1027,1740
274,1030,University of Arkansas Little Rock,,,1953,715,1453,1701
275,1031,Sam Houston State University,,,2765,705,1280,1722
276,1037,Weill Medical College Cornell University,,,2504,1799,7356,160
277,1048,CUNY Graduate Center,,,1614,3996,544,678
